,year,rank,name,sector,industry,revenues,revchange,profits,prftchange,assets,employees,hqcity,hqstate,newcomer,profitable,ceowoman,jobgrowth,permalink
607,2020,108.0,China Energy Investment,Energy,"Mining, Crude-Oil Production",80498.0,-1.8,4264.1,20.7,251272.0,331373,Beijing,,no,yes,no,no,https://fortune.com/company/shenhua-group/global500/
608,2020,109.0,Sinochem,Wholesalers,Trading,80376.0,-10.1,473.4,-32.5,78799.4,60049,Beijing,,no,yes,no,no,https://fortune.com/company/sinochem-group/global500/
609,2020,110.0,Electricité de France,Energy,Utilities,80278.0,-1.4,5769.8,315.4,340406.0,161522,Paris,,no,yes,no,no,https://fortune.com/company/electricite-de-france/global500/
610,2020,111.0,China Baowu Steel Group,Materials,Metals,79932.0,20.5,2901.3,33.8,123777.1,196378,Shanghai,,no,yes,no,yes,https://fortune.com/company/china-baowu-steel-group/global500/
611,2020,112.0,People&#8217;s Insurance Co. of China,Financials,Insurance: Property and Casualty (Stock),79788.0,5.9,3204.0,64.1,162687.0,198951,Beijing,,no,yes,no,yes,https://fortune.com/company/peoples-insurance-co-of-china/global500/
612,2020,113.0,ENI,Energy,Petroleum Refining,79513.0,-12.4,165.7,-96.6,138549.1,32053,Rome,,no,yes,no,yes,https://fortune.com/company/eni/global500/
613,2020,114.0,State Farm Insurance,Financials,Insurance: Property and Casualty (Mutual),79395.0,-2.9,5592.7,-36.4,294823.2,57672,Bloomington,Illinois,no,yes,no,yes,https://fortune.com/company/state-farm-insurance-cos/global500/
614,2020,115.0,AEON,Food & Drug Stores,Food & Drug Stores,78930.0,2.3,246.2,15.0,102574.7,290196,Chiba,,no,yes,no,yes,https://fortune.com/company/aeon/global500/
615,2020,116.0,Airbus,Aerospace & Defense,Aerospace & Defense,78883.0,4.9,-1524.4,-142.3,128412.7,134931,Leiden,,no,no,no,yes,https://fortune.com/company/airbus-group/global500/
616,2020,117.0,Target,Retailing,General Merchandisers,78112.0,3.7,3281.0,11.7,42779.0,368000,Minneapolis,Minnesota,no,yes,no,yes,https://fortune.com/company/target/global500/
617,2020,118.0,International Business Machines,Technology,Information Technology Services,77147.0,-3.1,9431.0,8.1,152186.0,383800,Armonk,New York,no,yes,no,yes,https://fortune.com/company/ibm/global500/
618,2020,119.0,Raytheon Technologies,Aerospace & Defense,Aerospace & Defense,77046.0,15.9,5537.0,5.1,139716.0,243200,Waltham,Massachusetts,no,yes,no,yes,https://fortune.com/company/raytheon-technologies/global500/
619,2020,120.0,Petrobras,Energy,Petroleum Refining,76589.0,-19.9,10151.0,41.5,229740.0,57983,Rio de Janeiro,,no,yes,no,no,https://fortune.com/company/petrobras/global500/
620,2020,121.0,Boeing,Aerospace & Defense,Aerospace & Defense,76559.0,-24.3,-636.0,-106.1,133625.0,161100,Chicago,Illinois,no,no,no,yes,https://fortune.com/company/boeing/global500/
621,2020,122.0,Sony,Technology,"Electronics, Electrical Equip.",75972.0,-2.8,5354.8,-35.2,213189.1,111700,Tokyo,,no,yes,no,no,https://fortune.com/company/sony/global500/
622,2020,123.0,ENEOS Holdings,Energy,Petroleum Refining,75897.0,-8.3,-1728.7,-159.5,74130.6,40983,Tokyo,,no,no,no,yes,https://fortune.com/company/jxtg-holdings/global500/
623,2020,124.0,Aegon,Financials,"Insurance: Life, Health (stock)",75344.0,204.6,1386.8,65.5,494246.6,23757,The Hague,,yes,yes,no,no,https://fortune.com/company/aegon/global500/
624,2020,125.0,Freddie Mac,Financials,Diversified Financials,75125.0,2.1,7214.0,-21.9,2203623.0,6892,McLean,Virginia,no,yes,no,yes,https://fortune.com/company/freddie-mac/global500/
