City,Region,Country,"Internet Price, 2010","Internet Price, 2011","Internet Price, 2012","Internet Price, 2013","Internet Price, 2014","Internet Price, 2015","Internet Price, 2016","Internet Price, 2017","Internet Price, 2018","Internet Price, 2019","Internet Price, 2020"
Mumbai,Maharashtra,India,20.130500431406396,19.857512233096102,20.759929970456298,25.349700256922603,25.256408621652998,19.2269110127937,18.6967777526585,17.436088145237502,13.0171190763047,10.726061161072801,10.739385854845901
Jerusalem,Jerusalem District,Israel,0.0,43.859649122807,20.7692307692308,0.0,26.654394139868497,21.6352980662484,20.768231794321498,25.236244123972398,25.2147765806438,26.7975243375116,24.5552922365303
Grenoble,,France,0.0,0.0,0.0,0.0,0.0,0.0,32.7934814142102,0.0,42.430612324341205,28.1701702149888,20.7829069497299
Dortmund,North Rhine-Westphalia,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0509210910135
Ghent,Flemish Region,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,40.0416928967275,40.3045230631438,52.16240414185061,40.1098450080966,49.8789766793517
Chicago,Illinois,United States of America,28.0,40.698,39.4,45.4433333333333,38.5,43.333095238095204,52.4159677419355,60.0625,61.758533333333304,63.0142028985507,65.1655813953488
Montevideo,Montevideo Department,Uruguay,0.0,55.012,40.7137518684604,47.0081135902637,32.4074074074074,28.1298983712777,27.342214844609,34.8393048318501,34.1075641120075,32.6367265599785,31.760325584263303
Tolyatti,Samara Oblast,Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.19097394041954,0.0
Pittsburgh,Pennsylvania,United States of America,0.0,45.0,40.0,0.0,43.57,53.8823529411765,58.925,74.2833333333333,75.44444444444441,72.6428571428571,71.098
Philadelphia,Pennsylvania,United States of America,40.0,44.995,150.0,51.25,0.0,61.291000000000004,57.5784210526316,68.2638888888889,66.1085185185185,66.531,58.4705882352941
Kolkata,West Bengal,India,28.034224906528603,20.3884934756821,15.748831538305199,23.156342182890896,20.9829956056819,17.4295810748925,20.6951900758384,13.927595594778099,9.84714156175193,8.830893217106992,9.26610788485857
Chennai,Tamil Nadu,India,23.111056329348003,25.763641755634602,16.0028449502134,20.3199455411845,22.2497989794597,20.0994697803376,18.5648173666362,16.096743948803,14.565230078954801,13.0766561798313,10.9708248541419
Delhi,,India,20.2221742881795,22.3494958481613,23.292685724774,22.9166666666667,25.190205762523398,24.3918946871975,22.0581030386832,17.4912637644245,13.288790379337302,11.4231713129661,10.774375190544697
Dhaka,Dhaka Division,Bangladesh,0.0,30.0,37.965530068195896,40.591855440618,40.8602150537634,47.7450127056011,39.4509708602352,21.0078883319313,27.991546917157898,27.9111731254132,28.589150511358
Hyderabad,Telangana,India,23.727351164797202,21.204033214709398,17.8550260787103,16.6310649984742,14.093301331640598,12.805962923868899,11.668544800458,12.4380360334688,11.670477824697402,10.522137342854402,10.0665754536355
Islamabad,Islamabad Capital Territory,Pakistan,17.1666666666667,22.5536,31.0308147506675,27.854111752939602,31.8973873447397,29.199587770525604,39.0053166069295,36.1631218084851,24.417323156775698,22.0053610041752,20.6123488358069
Zagreb,,Croatia,24.6913580246914,28.0385322092521,24.590163934426197,27.202555230236896,26.418343688000803,23.8960695551132,23.4623751218826,24.467264554283105,26.342022047003002,24.0904978094938,26.122679367639105
Genoa,Liguria,Italy,0.0,0.0,0.0,32.2510822510822,0.0,0.0,0.0,30.228392297357804,29.1953754525283,31.341646331908002,33.753667626391604
Manila,Metro Manila,Philippines,31.751172599784304,27.062553158586603,43.513312852022494,63.7793873189266,63.2840667823644,65.7434642722524,52.020388269026796,48.259884582754495,55.364246800962896,50.1725266696271,52.9989161515442
Quezon City,Metro Manila,Philippines,0.0,0.0,0.0,0.0,0.0,70.113741406853,0.0,0.0,51.113645001900395,33.860268268998,51.89639382736079
Bordeaux,,France,0.0,0.0,0.0,0.0,0.0,0.0,33.8668785711583,28.884908195253,37.9345245046518,28.7831445905278,0.0
Buenos Aires,,Argentina,34.59482,33.4905,35.0369873228934,34.4518965517241,36.875,46.206,37.2876113325615,49.2571050476935,47.9081395210081,33.2662331776307,30.6024248415801
Mexico City,,Mexico,47.921826625387,43.503313166234506,24.390243902439,34.0642963593783,34.9162282508179,24.954757160942002,22.7390635231531,26.7546104418366,26.831101669506896,26.7864425616085,25.450780403583398
Tokyo,,Japan,26.6871389924691,33.3726357160403,48.128342245989295,35.370124053313106,38.620195636878705,33.009514271407106,36.251998820114004,35.5259721619691,42.373939708337204,43.104608775354606,41.9090470574107
La Paz,La Paz Department,Bolivia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.1053222657015,43.679115655873794,49.6866036719597
Barcelona,Catalonia,Spain,24.6913580246914,49.2753623188406,42.04826038159371,45.3463203463203,47.1649727330772,39.6295081967213,40.6283047839829,47.1425682215449,49.466824195307204,48.1053850420749,45.7888816406658
Makati,Metro Manila,Philippines,0.0,0.0,92.15668202764981,51.4525449220296,40.288955429012795,43.751009638683996,65.9625421561221,0.0,0.0,52.2552792576876,0.0
Nagpur,Maharashtra,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.653486022423301,0.0
Abu Dhabi,Emirate of Abu Dhabi,United Arab Emirates,0.0,81.6666666666667,72.9741144414169,81.6833181955798,79.9052571397457,86.6751971540842,88.4988376902124,106.83722799486799,107.601405054561,102.61027885376998,101.023924937679
Athens,Attica Region,Greece,24.6913580246914,31.553945249597398,25.5854844743734,24.8874458874459,25.9991641233987,21.411271181763002,23.8267852781418,26.7813604020501,37.2312648318016,33.9973075509672,36.253705765620104
Caracas,Capital District,Venezuela,0.0,57.5,40.052170506797204,63.8751761893552,50.684246020260495,0.0,4.625,0.0,7.333076923076921,10.375,9.1125
